,Kyle B,Alex M,Daniel,Nathaniel P,Joey,Sean,Eric R,momo,Kevinthedog,Patrick,Nick,Marc
BN1,Robby Anderson,Rob Gronkowski,Tarik Cohen,Devin Funchess,Allen Robinson II,Carlos Hyde,Taylor Gabriel,Philip Rivers,Royce Freeman,Jordan Reed,Austin Hooper,Mohamed Sanu
BN10,,,,,,,,,,,,
BN2,Corey Clement,Chris Godwin,Mike Williams,Tevin Coleman,Andy Dalton,Joe Flacco,Chris Herndon,Dalvin Cook,Matt Ryan,Keelan Cole,Keenan Allen,Dion Lewis
BN3,Austin Ekeler,Rex Burkhead,Baker Mayfield,Carson Wentz,Ito Smith,Ezekiel Elliott,Javorius Allen,Marvin Jones Jr.,Melvin Gordon III,Tyler Lockett,Julio Jones,Chris Hogan
BN4,Sony Michel,DeVante Parker,Calvin Ridley,Devonta Freeman,Nyheim Hines,Tyrell Williams,Wendell Smallwood,Hunter Henry,C.J. Uzomah,Amari Cooper,Russell Wilson,Kenny Stills
BN5,Corey Davis,Geronimo Allison,Case Keenum,Keke Coutee,Jameis Winston,Cooper Kupp,D.J. Moore,Dak Prescott,Jamaal Williams,Jimmy Garoppolo,Marshawn Lynch,Randall Cobb
BN6,Nelson Agholor,Ronald Jones II,Theo Riddick,Dez Bryant,Jay Ajayi,Rashaad Penny,Jerick McKinnon,Kelvin Benjamin,Cameron Meredith,Courtland Sutton,Aaron Jones,Le'Veon Bell
BN7,Matthew Stafford,Marcus Mariota,Corey Coleman,Anthony Miller,Doug Martin,Lamar Jackson,Sam Darnold,Antonio Callaway,Alfred Blue,Raheem Mostert,Jack Doyle,Michael Gallup
BN8,Derrick Henry,D'Onta Foreman,Ty Montgomery,Mike Gesicki,Vance McDonald,John Ross,Mike Davis,Giovani Bernard,Elijah McGuire,Leonard Fournette,Hayden Hurst,Derek Carr
BN9,Derrius Guice,Jalen Richard,Los Angeles,Tre'Quan Smith,,New Orleans,Chris Ivory,Baltimore,Martavis Bryant,Kenjon Barner,Quincy Enunwa,Cleveland
DEF,Minnesota,Jacksonville,Houston,Detroit,Chicago,Washington,Philadelphia,New England,Carolina,Pittsburgh,New York,Denver
K,,,,,,,,,,,,
QB,Kirk Cousins,Patrick Mahomes,Aaron Rodgers,Mitchell Trubisky,Andrew Luck,Ben Roethlisberger,Tom Brady,Eli Manning,Deshaun Watson,Cam Newton,Drew Brees,Jared Goff
RB1,Matt Breida,Todd Gurley II,Alvin Kamara,Kareem Hunt,Christian McCaffrey,Adrian Peterson,T.J. Yeldon,Jordan Howard,Lamar Miller,Saquon Barkley,Phillip Lindsay,Isaiah Crowell
RB2,Latavius Murray,David Johnson,James Conner,Chris Carson,Mark Ingram,Duke Johnson Jr.,Alex Collins,Frank Gore,Devontae Booker,Kenyan Drake,Nick Chubb,Chris Thompson
TE,Greg Olsen,David Njoku,Zach Ertz,Eric Ebron,Jared Cook,Jimmy Graham,Vernon Davis,George Kittle,Trey Burton,Evan Engram,Ricky Seals-Jones,Kyle Rudolph
W/R/T,Cameron Brate,Marlon Mack,Travis Kelce,Doug Baldwin,Kerryon Johnson,O.J. Howard,LeSean McCoy,Robert Woods,Dede Westbrook,Joe Mixon,James White,Benjamin Watson
WR1,Brandin Cooks,Stefon Diggs,Davante Adams,Adam Thielen,Odell Beckham Jr.,Sammy Watkins,Julian Edelman,Tyreek Hill,Sterling Shepard,Josh Gordon,DeAndre Hopkins,Demaryius Thomas
WR2,Alshon Jeffery,A.J. Green,Antonio Brown,Golden Tate,Larry Fitzgerald,Willie Snead IV,DeSean Jackson,Emmanuel Sanders,Christian Kirk,Kenny Golladay,Jarvis Landry,Michael Crabtree
WR3,JuJu Smith-Schuster,John Brown,Marquise Goodwin,Tyler Boyd,Jermaine Kearse,Danny Amendola,Jordy Nelson,Mike Evans,Michael Thomas,T.Y. Hilton,Donte Moncrief,Will Fuller V
